"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03, 2018","11,609.7","11,236.7","11,703.4","11,219.1","1.16K","3.32%"
"Mar 02, 2018","11,236.7","11,052.7","11,300.0","10,944.7","1.30K","1.66%"
"Mar 01, 2018","11,052.7","10,541.0","11,171.7","10,453.9","1.10K","4.95%"
"Feb 28, 2018","10,531.5","10,700.4","11,284.5","10,493.3","1.48K","-1.57%"
"Feb 27, 2018","10,700.0","10,455.5","11,088.1","10,351.0","1.29K","2.34%"
"Feb 26, 2018","10,455.5","9,769.3","10,615.0","9,567.5","1.78K","7.02%"
"Feb 25, 2018","9,769.3","9,887.8","10,100.0","9,521.1","1.16K","-1.20%"
"Feb 24, 2018","9,887.8","10,300.2","10,680.0","9,555.0","1.71K","-4.00%"
"Feb 23, 2018","10,300.2","10,055.0","10,550.0","9,827.0","1.99K","2.44%"
"Feb 22, 2018","10,055.0","10,674.5","11,120.5","9,850.3","2.33K","-5.80%"
"Feb 21, 2018","10,674.5","11,509.9","11,603.0","10,405.0","2.85K","-7.26%"
"Feb 20, 2018","11,509.9","11,376.0","12,021.2","11,350.0","2.32K","1.18%"
"Feb 19, 2018","11,376.0","10,691.2","11,431.2","10,600.0","1.93K","6.41%"
"Feb 18, 2018","10,691.2","11,286.1","11,535.6","10,420.0","2.28K","-5.27%"
"Feb 17, 2018","11,286.1","10,351.9","11,311.0","10,229.1","1.97K","9.02%"
"Feb 16, 2018","10,351.9","10,234.0","10,500.0","9,947.2","1.81K","1.15%"
"Feb 15, 2018","10,234.0","9,679.1","10,398.7","9,522.6","2.75K","5.73%"
"Feb 14, 2018","9,679.1","8,778.2","9,699.8","8,772.4","1.99K","10.26%"
"Feb 13, 2018","8,778.2","9,000.0","9,050.0","8,575.2","1.61K","-2.46%"
"Feb 12, 2018","9,000.0","8,252.0","9,079.9","8,241.2","2.03K","9.06%"
"Feb 11, 2018","8,252.0","8,692.8","8,696.1","8,058.4","2.04K","-5.07%"
"Feb 10, 2018","8,692.8","8,789.1","9,199.5","8,324.7","2.55K","-1.13%"
"Feb 09, 2018","8,792.2","8,494.3","8,857.7","8,065.9","2.58K","3.51%"
"Feb 08, 2018","8,494.3","7,873.2","8,900.0","7,813.9","3.33K","7.89%"
"Feb 07, 2018","7,873.2","7,967.1","8,910.4","7,505.1","3.97K","-1.49%"
"Feb 06, 2018","7,992.2","7,065.9","8,298.7","6,115.0","6.72K","13.11%"
